Timestamp, COUNTER_MEMS, INTERPOLATED_MEMS, Q0, Q1, Q2, Q3, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ
1752427283.1355, 56, 0, 0.832682, 0.15625, 0.46875, -0.25, 0.968765, 0.125002, -0.187503, -76.563667, -19.029388, 38.281834
1752427283.1511, 57, 0, 0.574949, 0.390625, 0.484375, -0.53125, 1.000015, 0.125002, -0.187503, -76.563667, -20.954632, 38.281834
1752427283.1668, 58, 0, 0.911086, -0.0625, 0.40625, 0.03125, 1.000015, 0.125002, -0.187503, -76.563667, -18.859169, 38.281834
1752427283.1824, 59, 0, 0.691219, 0.265625, 0.546875, -0.390625, 1.000015, 0.125002, -0.187503, -76.563667, -20.801435, 38.281834
1752427283.198, 60, 0, 0.70607, 0.203125, 0.59375, -0.328125, 1.000015, 0.125002, -0.218753, -76.563667, -18.721292, 38.281834
1752427283.2136, 61, 0, 0.572396, 0.375, 0.515625, -0.515625, 1.000015, 0.156252, -0.187503, -76.563667, -20.677347, 38.281834
1752427283.2293, 62, 0, 0.903957, -0.0625, 0.421875, 0.03125, 1.000015, 0.156252, -0.218753, -76.563667, -18.609612, 38.281834
1752427283.2449, 63, 0, 0.630832, 0.3125, 0.546875, -0.453125, 0.968765, 0.125002, -0.187503, -76.563667, -20.576834, 38.281834
1752427283.2605, 0, 0, 0.751951, 0.09375, 0.625, -0.1875, 0.968765, 0.125002, -0.187503, -76.563667, -18.51915, 38.281834
1752427283.2761, 1, 0, 0.903957, -0.0625, 0.421875, 0.03125, 1.000015, 0.156252, -0.218753, -76.563667, -16.667236, 38.281834
1752427283.2918, 2, 0, 0.751951, 0.09375, 0.625, -0.1875, 0.968765, 0.125002, -0.187503, -76.563667, -15.000512, 38.281834
1752427283.3074, 3, 0, 0.869823, 0.28125, 0.1875, -0.359375, 1.000015, 0.125002, -0.187503, -76.563667, -13.500461, 38.281834
1752427283.323, 4, 0, 0.78468, 0.28125, 0.390625, -0.390625, 1.000015, 0.156252, -0.187503, -76.563667, -12.150414, 38.281834
1752427283.3386, 5, 0, 0.772766, 0.015625, 0.625, -0.109375, 1.000015, 0.125002, -0.218753, -76.563667, -10.935373, 38.281834
1752427283.3543, 6, 0, 0.992772, 0.078125, 0.046875, -0.078125, 1.000015, 0.125002, -0.187503, -76.563667, -9.841836, 38.281834
1752427283.3699, 7, 0, 0.983134, 0.125, 0.046875, -0.125, 1.000015, 0.156252, -0.187503, -76.563667, -12.685836, 38.281834
1752427283.3855, 8, 0, 0.961922, 0.171875, 0.0625, -0.203125, 1.000015, 0.156252, -0.187503, -76.563667, -11.417253, 38.281834
1752427283.4011, 9, 0, 0.919887, 0.234375, 0.140625, -0.28125, 1.000015, 0.156252, -0.187503, -76.563667, -14.10371, 38.281834
1752427283.4168, 10, 0, 0.860085, 0.234375, 0.3125, -0.328125, 1.000015, 0.125002, -0.187503, -76.563667, -16.521523, 38.281834
1752427283.4324, 11, 0, 0.810545, 0.09375, 0.546875, -0.1875, 1.000015, 0.156252, -0.187503, -76.563667, -14.86937, 38.281834
1752427283.448, 12, 0, 0.49534, 0.453125, 0.421875, -0.609375, 0.968765, 0.156252, -0.187503, -76.563667, -17.210617, 38.281834
1752427283.4636, 13, 0, 0.962429, -0.046875, 0.265625, 0.03125, 0.968765, 0.156252, -0.187503, -76.563667, -19.317739, 38.281834
1752427283.4793, 14, 0, 0.926498, -0.03125, 0.375, 0, 0.968765, 0.125002, -0.218753, -76.563667, -21.214148, 38.281834
1752427283.4949, 15, 0, 0.69562, 0.296875, 0.5, -0.421875, 1.000015, 0.125002, -0.187503, -76.563667, -19.092733, 38.281834
1752427283.5105, 16, 0, 0.747881, 0.09375, 0.625, -0.203125, 1.000015, 0.125002, -0.187503, -76.563667, -21.011642, 38.281834
1752427283.5261, 17, 0, 0.841722, 0.3125, 0.203125, -0.390625, 1.000015, 0.156252, -0.187503, -76.563667, -18.910479, 38.281834
1752427283.5418, 18, 0, 0.759703, 0.25, 0.46875, -0.375, 1.000015, 0.125002, -0.187503, -76.563667, -17.019432, 38.281834
1752427283.5574, 19, 0, 0.766422, 0.046875, 0.625, -0.140625, 1.000015, 0.156252, -0.187503, -76.563667, -15.317488, 38.281834
1752427283.573, 20, 0, 0.993878, 0.0625, 0.046875, -0.078125, 1.000015, 0.125002, -0.187503, -76.563667, -13.785739, 38.281834
1752427283.5886, 21, 0, 0.984995, 0.109375, 0.046875, -0.125, 1.000015, 0.125002, -0.187503, -76.563667, -12.407166, 38.281834
1752427283.6043, 22, 0, 0.967741, 0.15625, 0.0625, -0.1875, 1.000015, 0.125002, -0.187503, -76.563667, -14.994632, 38.281834
1752427283.6199, 23, 0, 0.930573, 0.21875, 0.125, -0.265625, 1.000015, 0.156252, -0.187503, -76.563667, -17.323353, 38.281834
1752427283.6355, 24, 0, 0.865602, 0.234375, 0.296875, -0.328125, 1.000015, 0.156252, -0.187503, -76.563667, -19.419201, 38.281834
