Timestamp, COUNTER_MEMS, INTERPOLATED_MEMS, Q0, Q1, Q2, Q3, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ
Timestamp, act, pow
1752439901.897, 16, 0, 0.588277, 0.388245, -0.59845, 0.380859, 0.992309, -0.004395, -0.017092, 14.958316, 39.767661, 18.111516
1752439901.9127, 17, 0, 0.588406, 0.387878, -0.598755, 0.380554, 0.992309, -0.004395, -0.017092, 14.945817, 39.690895, 18.233698
1752439901.9284, 18, 0, 0.588688, 0.387329, -0.599182, 0.380005, 0.98889, -0.00586, -0.019045, 14.934569, 39.621806, 18.343661
1752439901.9439, 19, 0, 0.588938, 0.387024, -0.599365, 0.379639, 1.004517, 0.00879, -0.034184, 14.907779, 39.659625, 18.309295
1752439901.9596, neutral, 0
1752439901.9596, 20, 0, 0.58895, 0.386902, -0.599548, 0.379456, 1.001099, 0.026859, -0.031742, 14.933668, 39.693663, 18.228366
1752439901.9753, 21, 0, 0.589018, 0.38678, -0.599792, 0.379089, 1.005982, 0.011232, -0.025394, 14.973634, 39.574296, 18.222196
1752439901.9911, 22, 0, 0.58911, 0.386475, -0.599976, 0.378967, 1.000122, -0.004395, -0.019045, 14.926271, 39.5502, 18.016643
1752439902.0068, 23, 0, 0.589055, 0.386414, -0.599915, 0.379211, 1.011842, 0.012209, -0.015627, 14.983644, 39.54518, 17.898312
1752439902.0223, 24, 0, 0.589153, 0.386169, -0.599976, 0.379211, 1.005494, -0.004395, -0.022952, 14.968613, 39.407329, 18.091814
1752439902.0378, 25, 0, 0.589272, 0.386047, -0.599976, 0.37915, 1.005494, -0.004395, -0.022952, 15.088418, 39.566596, 18.099299
1752439902.0533, 26, 0, 0.589176, 0.386169, -0.599915, 0.379272, 1.007447, 0.004883, -0.018557, 15.046243, 39.526603, 18.006036
1752439902.0688, 27, 0, 0.589159, 0.38623, -0.599854, 0.379333, 1.015261, 0.004883, -0.019045, 15.074952, 39.590609, 17.988766
1752439902.0844, neutral, 0
1752439902.0844, 28, 0, 0.589159, 0.386169, -0.599854, 0.379395, 1.013307, -0.001465, -0.016115, 15.034123, 39.381548, 17.989889
1752439902.1001, 29, 0, 0.589041, 0.38623, -0.599854, 0.379517, 0.99768, -0.006348, -0.01465, 15.047378, 39.36006, 17.907567
1752439902.1158, 30, 0, 0.588966, 0.386414, -0.599731, 0.379639, 1.006959, 0.006837, -0.021975, 15.259307, 39.307387, 17.86681
1752439902.1315, 31, 0, 0.58883, 0.386597, -0.59967, 0.379761, 0.992309, -0.001465, -0.010743, 15.250043, 39.293315, 18.080129
1752439902.147, 32, 0, 0.588909, 0.386536, -0.59967, 0.3797, 1.011842, 0.003907, -0.012209, 15.241705, 39.280651, 18.272116
1752439902.1625, 33, 0, 0.588476, 0.387024, -0.599548, 0.380066, 1.006959, 0.007813, -0.021975, 15.234201, 39.269252, 18.161571
1752439902.1781, 34, 0, 0.588113, 0.387207, -0.59967, 0.380249, 1.006959, 0.007813, -0.021975, 15.077448, 39.242327, 18.162081
1752439902.1938, 35, 0, 0.5878, 0.387451, -0.599548, 0.380676, 1.005982, -0.013185, -0.020022, 15.019703, 39.251428, 17.995873
1752439902.2095, neutral, 0
1752439902.2095, 36, 0, 0.587601, 0.387573, -0.599548, 0.380859, 0.993285, -0.01758, -0.024417, 14.901066, 39.209618, 17.996285
1752439902.225, 37, 0, 0.587481, 0.387695, -0.599548, 0.38092, 1.010866, -0.001465, -0.024417, 14.760959, 39.238656, 18.02999
1752439902.2406, 38, 0, 0.587321, 0.387817, -0.599548, 0.381042, 1.004029, -0.002442, -0.01758, 14.668197, 39.231457, 17.976991
1752439902.2562, 39, 0, 0.587364, 0.388062, -0.599426, 0.38092, 1.00354, 0.004883, -0.021487, 14.58471, 39.258312, 17.979292
1752439902.2719, 40, 0, 0.587349, 0.388367, -0.599243, 0.38092, 0.990844, -0.001465, -0.026859, 14.609573, 39.18248, 17.79803
1752439902.2876, 41, 0, 0.587271, 0.388672, -0.599121, 0.38092, 1.005494, 0.003907, -0.02637, 14.515282, 39.364232, 17.80156
1752439902.3031, 42, 0, 0.587251, 0.388916, -0.59906, 0.380798, 1.010866, -0.007325, -0.016604, 14.530421, 39.311143, 17.821404
1752439902.3188, 43, 0, 0.587352, 0.388977, -0.598999, 0.380676, 1.010866, -0.007325, -0.016604, 14.560712, 39.446695, 17.822597
1752439902.3345, neutral, 0
1752439902.3345, 44, 0, 0.587241, 0.389282, -0.598755, 0.38092, 0.99768, -0.007325, -0.022952, 14.454641, 39.668692, 17.873671
1752439902.3502, 45, 0, 0.587262, 0.389343, -0.598694, 0.38092, 1.007936, 0.003418, -0.022464, 14.359177, 39.86849, 17.919637
1752439902.366, 46, 0, 0.587164, 0.389465, -0.598633, 0.381042, 1.008424, 0.007813, -0.019045, 14.306592, 39.798307, 17.811006
