Timestamp, act, pow
1752432083.4246, neutral, 0
1752432083.5496, neutral, 0
1752432083.6746, neutral, 0
1752432083.7996, neutral, 0
1752432083.9246, neutral, 0
1752432084.0496, neutral, 0
1752432084.1746, neutral, 0
1752432084.2996, neutral, 0
1752432084.4246, neutral, 0
1752432084.5496, neutral, 0
1752432084.6746, neutral, 0
1752432084.7996, neutral, 0
1752432084.9246, neutral, 0
1752432085.0496, neutral, 0
1752432085.1746, neutral, 0
1752432085.2996, neutral, 0
1752432085.4246, neutral, 0
1752432085.5496, neutral, 0
1752432085.6746, neutral, 0
1752432085.7996, neutral, 0
1752432085.9246, neutral, 0
1752432086.0496, neutral, 0
1752432086.1746, neutral, 0
1752432086.2996, neutral, 0
1752432086.4246, neutral, 0
1752432086.5496, neutral, 0
1752432086.6746, neutral, 0
1752432086.7996, neutral, 0
1752432086.9246, neutral, 0
1752432087.0496, neutral, 0
1752432087.1746, neutral, 0
1752432087.2996, neutral, 0
1752432087.4246, neutral, 0
1752432087.5496, neutral, 0
1752432087.6746, neutral, 0
1752432087.7996, neutral, 0
1752432087.9246, neutral, 0
1752432088.0496, neutral, 0
1752432088.1746, neutral, 0
1752432088.2996, neutral, 0
1752432088.4246, neutral, 0
1752432088.5496, neutral, 0
1752432088.6746, neutral, 0
1752432088.7996, neutral, 0
1752432088.9246, neutral, 0
1752432089.0496, neutral, 0
1752432089.1746, neutral, 0
1752432089.2996, neutral, 0
1752432089.4246, neutral, 0
1752432089.5496, neutral, 0
1752432089.6746, neutral, 0
1752432089.7996, neutral, 0
1752432089.9246, neutral, 0
1752432090.0496, neutral, 0
1752432090.1746, neutral, 0
1752432090.2996, neutral, 0
1752432090.4246, neutral, 0
1752432090.5496, neutral, 0
1752432090.6746, neutral, 0
1752432090.7996, neutral, 0
1752432090.9246, neutral, 0
1752432091.0496, neutral, 0
1752432091.1746, neutral, 0
1752432091.2996, neutral, 0
1752432091.4246, neutral, 0
1752432091.5496, neutral, 0
1752432091.6746, neutral, 0
1752432091.7996, neutral, 0
1752432091.9246, neutral, 0
1752432092.0496, neutral, 0
1752432092.1746, neutral, 0
1752432092.2996, neutral, 0
1752432092.4246, neutral, 0
1752432092.5496, neutral, 0
1752432092.6746, neutral, 0
1752432092.7996, neutral, 0
1752432092.9246, neutral, 0
1752432093.0496, neutral, 0
1752432093.1746, neutral, 0
1752432093.2996, neutral, 0
1752432093.4246, neutral, 0
1752432093.5496, neutral, 0
1752432093.6746, neutral, 0
1752432093.7996, neutral, 0
1752432093.9246, neutral, 0
1752432094.0496, neutral, 0
1752432094.1746, neutral, 0
1752432094.2996, neutral, 0
1752432094.4246, neutral, 0
1752432094.5496, neutral, 0
1752432094.6746, neutral, 0
1752432094.7996, neutral, 0
1752432094.9246, neutral, 0
1752432095.0496, neutral, 0
1752432095.1746, neutral, 0
1752432095.2996, neutral, 0
1752432095.4246, neutral, 0
1752432095.5496, neutral, 0
1752432095.6746, neutral, 0
1752432095.7996, neutral, 0
1752432095.9246, neutral, 0
1752432096.0496, neutral, 0
1752432096.1746, neutral, 0
1752432096.2996, neutral, 0
1752432096.4246, neutral, 0
1752432096.5496, neutral, 0
1752432096.6746, neutral, 0
1752432096.7996, neutral, 0
1752432096.9246, neutral, 0
1752432097.0496, neutral, 0
1752432097.1746, neutral, 0
1752432097.2996, neutral, 0
1752432097.4246, neutral, 0
1752432097.5496, neutral, 0
1752432097.6746, neutral, 0
1752432097.7996, neutral, 0
1752432097.9246, neutral, 0
1752432098.0496, neutral, 0
1752432098.1746, neutral, 0
1752432098.2996, neutral, 0
1752432098.4246, neutral, 0
1752432098.5496, neutral, 0
1752432098.6746, neutral, 0
1752432098.7996, neutral, 0
1752432098.9246, neutral, 0
1752432099.0496, neutral, 0
1752432099.1746, neutral, 0
1752432099.2996, neutral, 0
1752432099.4246, neutral, 0
1752432099.5496, neutral, 0
1752432099.6746, neutral, 0
1752432099.7996, neutral, 0
1752432099.9246, neutral, 0
1752432100.0496, neutral, 0
1752432100.1746, neutral, 0
1752432100.2996, neutral, 0
1752432100.4246, neutral, 0
1752432100.5496, neutral, 0
1752432100.6746, neutral, 0
1752432100.7996, neutral, 0
1752432100.9246, neutral, 0
1752432101.0496, neutral, 0
1752432101.1746, neutral, 0
1752432101.2996, neutral, 0
1752432101.4246, neutral, 0
1752432101.5496, neutral, 0
1752432101.6746, neutral, 0
1752432101.7996, neutral, 0
1752432101.9246, neutral, 0
1752432102.0496, neutral, 0
1752432102.1746, neutral, 0
1752432102.2996, neutral, 0
1752432102.4246, neutral, 0
1752432102.5496, neutral, 0
1752432102.6746, neutral, 0
1752432102.7996, neutral, 0
1752432102.9246, neutral, 0
1752432103.0496, neutral, 0
1752432103.1746, neutral, 0
1752432103.2996, neutral, 0
1752432103.4246, neutral, 0
1752432103.5496, neutral, 0
